3.755516847381427631e-12,9.999999999962444486e-01
4.999999907192182458e-01,5.000000092807816987e-01
6.832460761919059156e-01,3.167539238080940844e-01
9.999999999999815703e-01,1.842970220877759857e-14
9.999999999954310992e-01,4.568900813239906711e-12
2.405616100941965426e-12,9.999999999975943688e-01
9.999999999984532373e-01,1.546762717907768092e-12
1.023365196573112234e-18,1.000000000000000000e+00
5.981271664936300722e-12,9.999999999940186735e-01
9.999999999941866502e-01,5.813349801542244677e-12
9.999999999996739275e-01,3.260725023324084759e-13
7.592000358757628689e-13,9.999999999992408295e-01
3.167539343048892952e-01,6.832460656951107048e-01
1.950395292437167593e-12,9.999999999980495602e-01
9.999999999873173673e-01,1.268263272180547574e-11
7.356020932817309843e-01,2.643979067182690157e-01
4.267891832816036622e-12,9.999999999957320806e-01
9.999999999994036992e-01,5.963007865261715779e-13
9.999999999976010301e-01,2.398969911610038253e-12
8.141361426681511526e-01,1.858638573318488474e-01
