1.72814137e-10,   1.00000000e+00
0.4224209,  0.5775791
2.56580875e-05,   9.99974342e-01
0.26620688,  0.73379312
0.51631981,  0.48368019
0.49322701,  0.50677299
5.52548862e-15,   1.00000000e+00
0.48146273,  0.51853727
0.42540939,  0.57459061
9.99912308e-01,   8.76915560e-05
1.31073430e-04,   9.99868927e-01
0.41777208,  0.58222792
0.62567701,  0.37432299
5.51988277e-08,   9.99999945e-01
0.2176235,  0.7823765
0.43742634,  0.56257366
0.38256391,  0.61743609
0.45278872,  0.54721128
0.45330791,  0.54669209
1.15393017e-09,   9.99999999e-01

